Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
AMD Radeon RX 6700 XT,GPU,2021-03-03,7.0,230.0,335.0,335,17200.0,2321.0,TSMC,AMD
AMD Radeon RX 6700M,GPU,2021-05-31,7.0,135.0,335.0,335,17200.0,1489.0,TSMC,AMD
AMD Radeon RX 6800M,GPU,2021-05-31,7.0,145.0,335.0,335,17200.0,2116.0,TSMC,AMD
NVIDIA A100 PCIe 80 GB,GPU,2021-06-28,7.0,300.0,826.0,826,54200.0,1065.0,TSMC,NVIDIA
NVIDIA A100X,GPU,2021-06-28,7.0,300.0,826.0,826,54200.0,795.0,TSMC,NVIDIA
NVIDIA A30 PCIe,GPU,2021-04-12,7.0,165.0,826.0,826,54200.0,930.0,TSMC,NVIDIA
NVIDIA A30X,GPU,2021-04-12,7.0,230.0,826.0,826,54200.0,1035.0,TSMC,NVIDIA
NVIDIA CMP 170HX 10 GB,GPU,2021-09-01,7.0,250.0,826.0,826,54200.0,1140.0,TSMC,NVIDIA
NVIDIA CMP 170HX 8 GB,GPU,2021-09-01,7.0,250.0,826.0,826,54200.0,1140.0,TSMC,NVIDIA
NVIDIA GeForce GT 1010,GPU,2021-01-13,14.0,30.0,74.0,74,1800.0,1228.0,Samsung,NVIDIA
NVIDIA GeForce GT 1010 DDR4,GPU,2021-01-13,14.0,20.0,74.0,74,1800.0,1152.0,Samsung,NVIDIA
NVIDIA PG506-207,GPU,2021-04-12,7.0,165.0,826.0,826,54200.0,930.0,TSMC,NVIDIA
NVIDIA PG506-217,GPU,2021-04-12,7.0,165.0,826.0,826,54200.0,930.0,TSMC,NVIDIA
NVIDIA PG506-232,GPU,2021-04-12,7.0,165.0,826.0,826,54200.0,930.0,TSMC,NVIDIA
NVIDIA PG506-242,GPU,2021-04-12,7.0,165.0,826.0,826,54200.0,930.0,TSMC,NVIDIA
AMD Radeon Graphics 448SP Mobile,GPU,2022-01-06,7.0,45.0,180.0,180,10700.0,300.0,TSMC,AMD
AMD Radeon Graphics 512SP Mobile,GPU,2022-01-06,7.0,45.0,180.0,180,10700.0,300.0,TSMC,AMD
AMD Radeon RX 6600S,GPU,2022-01-04,7.0,80.0,237.0,237,11060.0,1700.0,TSMC,AMD
AMD Radeon RX 6650 XT,GPU,2022-05-10,7.0,176.0,237.0,237,11060.0,2055.0,TSMC,AMD
AMD Radeon RX 6650M,GPU,2022-01-04,7.0,120.0,237.0,237,11060.0,2068.0,TSMC,AMD
AMD Radeon RX 6650M XT,GPU,2022-01-04,7.0,120.0,237.0,237,11060.0,2068.0,TSMC,AMD
AMD Radeon RX 6700S,GPU,2022-01-04,7.0,80.0,237.0,237,11060.0,1700.0,TSMC,AMD
AMD Radeon RX 6750 XT,GPU,2022-03-03,7.0,250.0,335.0,335,17200.0,2150.0,TSMC,AMD
AMD Radeon RX 6800S,GPU,2022-01-04,7.0,100.0,237.0,237,11060.0,1800.0,TSMC,AMD
AMD Radeon RX 6850M XT,GPU,2022-01-04,7.0,165.0,335.0,335,17200.0,2321.0,TSMC,AMD
AMD Radeon RX 6950 XT,GPU,2022-05-10,7.0,335.0,520.0,520,26800.0,1860.0,TSMC,AMD
AMD Steam Deck GPU,GPU,2022-02-25,7.0,15.0,163.0,163,2400.0,1000.0,TSMC,AMD
NVIDIA A800 PCIe 40 GB,GPU,2022-11-08,7.0,250.0,826.0,826,54200.0,765.0,TSMC,NVIDIA
NVIDIA A800 PCIe 80 GB,GPU,2022-11-08,7.0,250.0,826.0,826,54200.0,1065.0,TSMC,NVIDIA
NVIDIA A800 SXM4 80 GB,GPU,2022-08-11,7.0,400.0,826.0,826,54200.0,1155.0,TSMC,NVIDIA
AMD Radeon RX 6750 GRE,GPU,2023-10-17,7.0,250.0,335.0,335,17200.0,2321.0,TSMC,AMD
Intel Data Center GPU Max 1100,GPU,2023-01-10,10.0,300.0,1280.0,1280,100000.0,1000.0,Intel,Intel
Intel Data Center GPU Max 1350,GPU,2023-01-10,10.0,450.0,1280.0,1280,100000.0,750.0,Intel,Intel
Intel Data Center GPU Max 1550,GPU,2023-01-10,10.0,600.0,1280.0,1280,100000.0,900.0,Intel,Intel
Intel Data Center GPU Max Subsystem,GPU,2023-01-10,10.0,2400.0,1280.0,1280,100000.0,900.0,Intel,Intel
GTX TITAN BLACK,GPU,2014-01-01,28.0,230.0,561.0,561,7080.0,889.0,TSMC ,NVIDIA
GTX TITAN X,GPU,2015-01-01,28.0,250.0,601.0,601,8000.0,1000.0,TSMC ,NVIDIA
GTX TITAN Pascal,GPU,2016-01-01,14.0,250.0,471.0,471,12000.0,1417.0,TSMC ,NVIDIA
GTX TITAN Xp,GPU,2017-01-01,14.0,250.0,471.0,471,12000.0,1180.0,TSMC ,NVIDIA
GTX TITAN V,GPU,2018-01-01,14.0,250.0,815.0,815,21100.0,1200.0,TSMC ,NVIDIA
RTX TITAN RTX,GPU,2018-12-01,14.0,280.0,754.0,754,18600.0,1350.0,TSMC ,NVIDIA
RTX 3090Ti,GPU,2020-01-01,10.0,450.0,628.0,628,28300.0,1560.0,Samsung,NVIDIA
